Boston, New York, USA	42.6289858 -78.7376213
Yamaguchi, Japan	34.1781317 131.4737077
Corse, France	42.188089649999995 9.068413771427695
Buenaventura, Valle del Cauca, Colombia	3.6707494 -76.98077577005347
Alba Iulia, Romania	46.0687385 23.5704398
Fort Hope, Ontario, Canada	51.5570591 -87.9045918
Freeman Circuit, Ingleburn New South Wales, Australia	-34.0093805 150.8545797
Somerset, England, U.K.	51.161750850000004 -3.0753867062227487
Stone Harbor New Jersey, USA	39.0537129 -74.7584461
Hermannsburg, Northern Territory, Australia	-23.9427685 132.7794582
Deer Creek Reservoir, Utah, USA	40.44265625 -111.49315659425262
Masig Island, Queensland, Australia	-9.75253605 143.40745612164082
Hastings, Michigan, USA	42.6458683 -85.2908404
Ku-Ring-Gai Chase, New South Wales, Australia	-33.6502778 151.2008333
Jindabyne, New South Wales, Australia	-36.4170899 148.61996
�rby, Sweden	56.8068397 16.3410883
Albany, California, USA	37.88687 -122.2977475
2405 Broadway St San Antonio, Texas , USA	29.7049813877551 -95.27808133673469
San Juan 00917, Puerto Rico, USA	18.465299 -66.116666
Lexington, Texas, USA	30.415222 -97.0097922
Blagoveshchensk, Russia	50.290527 127.527161
Shamsabad, Uttar Pradesh, India	27.0170736 78.123465
Suwon World Cup Stadium, Suwon, South Korea	37.2864084 127.03680502041217
Dumre, Nepal	27.9634543 84.4116123
Valle Varaita, Piemonte, Italy	44.6458422 6.9990779
Vaasan kaupunginteatteri, Vaasa, Finland	63.0944451 21.6210904
Caunes-Minervois, Aude, France	43.3266317 2.5283229
Interlaken, Kanton Bern, Switzerland	46.6855231 7.8585139
Bjelovar, Croatia	45.8986944 16.8422031
Finsterwolde, Groningen, Netherlands	53.1983394 7.0833842
Ja Ela,Sri Lanka	7.0793775 79.8907632
Kamala Beach, Thailand	7.9580664 98.283269091986
Getzville, New York, USA	43.0243244 -78.7678332
Magelang, Indonesia	-7.5136132 110.21433030848786
Fort Myers, FL, USA	26.640628 -81.8723084
Clear Spring, Maryland, USA	39.6566586 -77.9291141
Dingle Peninsula, County Kerry, Ireland	52.20679235 -10.03637366996086
Ness Ziona, israel	31.9295577 34.7990609
Mukwonago, Wisconsin, USA	42.8666803 -88.3334274
Bas-Saint-Laurent, Quebec, Canada	47.943947 -68.900757
Staatsoper, Vienna, Austria	48.20324105 16.36920129335666
Sauerland, North Rhine-Westphalia, Germany	51.2609835 8.047548429021685
Haarle, Overijssel, Netherlands	52.3592764 6.3842991
San VIttore di Cesena, Italy	44.1059409 12.1961544
Nobleton, Ontario, Canada	43.9022127 -79.652722
Hohenwald, Tennessee, USA	35.5478514 -87.5519629
PETAR, S�o Paulo, Brazil	-24.5518193 -48.6821699
Bolu, Turkey	40.6212099 31.6460259
Congo	-0.7264327 15.6419155
Woodsville, New Hampshire, USA	44.1522971 -72.0370393
Tel-Hai, Israel	33.2337137 35.578034
Castelli, Buenos Aires, Argentina	-33.3063039 -60.2559328
Nabari, Mie, Japan	34.6279243 136.1086582
Decatur, Indiana, USA	40.830603 -84.9291329
Nerondes, France	46.9977989 2.8189264
Roubaix, France	50.6915893 3.1741734
Sidi Moussa, Rabat, Morocco	34.0496167 -6.8168297
Pennington, New Jersey, USA	40.3281213 -74.7909992
Letterfrack, County Galway, Ireland	53.553524 -9.9483002
Athens, Ohio, USA	39.3289242 -82.1012479
Santar�m, Portugal	41.8207621 -8.4242421
Housatonic, Massachusetts, USA	42.2551295 -73.3667593
Estudios CEA. Ciudad Lineal, Madrid, Spain	40.4539953 -3.6578496
King City, California, USA	36.2127439 -121.126028
Bexar County, Texas, USA	29.4263987 -98.5104781
Hiram, Ohio, USA	41.312555 -81.14371
Landover, Maryland, USA	38.92531295 -76.88154330442846
10400 Detroit, Michigan, USA	42.660668 -84.076764
Olean, Missouri, USA	38.4108631 -92.5293537
Tichilesti, Romania	44.6020692 28.0915404
Alton, Illinois, USA	38.8908583 -90.1843091
Key West Florida, USA	24.5625566 -81.7724368
Bad Blumau, Styria, Austria	47.116084 16.0516461
Patriot, Indiana, USA	38.8386738 -84.8268925
Gujrat, Pakistan	32.5686782 74.071481
Lupeni, Hunedoara, Romania	45.3540332 23.2103185
Cox's Bazar, Bangladesh	21.1765971 92.00322507810606
Mendez, Cavite, Philippines	14.1306525 120.90479
Oriental, North Carolina, USA	35.0312553 -76.6926676
Mihara, Hiroshima, Japan	34.3974407 133.0785046
Guestwick, England, UK	52.7935338 1.0472509
Pesti Theater, Budapest, Hungary	47.4950688 19.051693
Port Carling, Ontario, Canada	45.1163936 -79.5759748
Valencia, Comunidad Valenciana, Spain	39.4697065 -0.3763353
Pasighat, Arunachal Pradesh, India	28.0589676 95.3324944
Schierensee, Schleswig-Holstein, Germany	54.2565684 9.9850566
Caldwell County, Texas, USA	29.8298971 -97.5959641
Roxby Downs, South Australia, Australia	-30.5517551 136.8816645260958
Jumeira, Dubai, United Arab Emirates	25.233175 55.2773708
Struten fyr, Fredrikstad, Norway	59.1181585 10.7413135
Brisbane Ranges, Geelong. Australia	-37.747618149999994 144.2698778160718
Bill Williams Bridge, Arizona, USA	34.2997834 -114.0938357
Phan Thiet, Vietnam	10.931025 108.1014632
Khazar, Baku, Azerbaijan	40.394667850000005 50.227740529777364
Ruhla, Thuringia, Germany	50.891491 10.3731603
Podbozur, Montenegro	42.7453561 18.705267
Delton, Michigan, USA	42.4997581 -85.4080641
Castel Bolognese, Emilia-Romagna, Italy	44.3204868 11.7992579
Calimesa, California, USA	34.0039044 -117.0619774
Dollymount Strand, Dublin, Ireland	53.36698625 -6.145687383106732
Balerna, Ticino, Switzerland	45.8491908 9.0070811
Torcy, Seine-et-Marne, France	48.8515 2.65265
Los Angeles, CA 90095, USA	34.0536909 -118.242766
Ixtapa-Zihuatanejo, Guerrero, Mexico	17.6670868 -101.5906237
Mar de las Pampas, Argentina	-37.324410549999996 -57.02629103444987
Aurora, Illinois, USA	41.7571701 -88.3147539
Trecchina, Basilicata, Italy	40.0256576 15.7767873
Tiggiano, Apulia, Italy	39.905819 18.364433
Monte Carlo, Monaco	43.7402961 7.426559
Bergheim, North Rhine-Westphalia, Germany	50.9540457 6.6410004
San Borja, Lima, Peru	-12.09645155 -76.99568986771155
Knippelsbro, Copenhagen, Denmark	55.6751196 12.586616
Libby, Montana, USA	48.3883645 -115.5558612
Mono Basin National Forest Scenic Area, California, USA	37.9502037 -119.0593133
Overbrook, Kansas, USA	38.7805607 -95.5572026
Hiram Bithorn Stadium, San Juan, Puerto Rico	18.41683725 -66.07350188890194
Alphaville, S�o Paulo, Brazil	-23.4989809 -46.8478321
Stewartstown, Pennsylvania, USA	39.7537146 -76.5913571
Mairena de Aljarafe, Sevilla, Spain	37.34066995 -6.056465981198112
Paris 4, Paris, France	48.71291565 2.1647796036150377
Sijsele, Flanders, Belgium	51.2004843 3.3235879
SOB's - New York City, New York, USA	40.7284401 -74.005096
Warren, Ohio, USA	41.237557 -80.818417
Rafael, California, USA	37.9735346 -122.5310874
Geographic Center, California, USA	37.1662722 -119.4495516
Hobsons Bay, Victoria, Australia	-37.84849 144.93465
Emmen, Drenthe, Netherlands	52.75286615 6.952513466208563
Panamint Valley, California, USA	36.1353115 -117.29782728551149
Bunratty Castle & Folk Park, Ireland	52.6978336 -8.8121413
Yueqing, Zhejiang, China	28.2510879 121.0172301496206
Sonprayag, Uttarakhand, India	30.6317057 78.9986617
Niaqornat, Greenland	70.788942 -53.6640819
Study Butte, Texas, USA	29.3213086 -103.5293499
Via Monferrato 6, 20144 Milano, Italy	45.4656089 9.1575921
Narragansett, Rhode Island, USA	41.4501021 -71.4495005
Pellinki, Porvoo, Finland	60.2211929 25.8686597
Sagae, Yamagata, Japan	38.3808731 140.2759709
Indian Trail, North Carolina, USA	35.0768141 -80.6692352
Willemstad, Curacao	12.1066695 -68.9351307
Lincoln-Sudbury Regional High School - Sudbury, Massachusetts, USA	42.3990754 -71.40017010406419
Bialik Square, Tel Aviv, Israel	32.07320775 34.77097165785256
Toppila, Oulu, Finland	65.041678 25.4360905
Charleroi, Pennsylvania, USA	40.1378499 -79.8981035
Taymyr Peninsula, Russia	76.0 105.0
Torrance, California, USA	33.8358492 -118.3406288
Besiktas, Istanbul, Turkey	41.0428465 29.0075283
Carmel-by-the-Sea, California, USA	36.5552656 -121.9232785
Leblon, Rio de Janeiro, Brazil	-22.983556 -43.2249377
North Battleford, Saskatchewan, Canada	52.776186 -108.300476
Ft. Gibson, Oklahoma, USA	35.8037889 -95.25796434827194
Berwick, Louisiana, USA	29.6932795 -91.2234005
Chmiel, Podkarpackie, Poland	49.2210105 22.602315
Humboldt County, California, USA	40.5997415 -123.8997734
Massa, Toscana, Italy	44.0359323 10.1395519
Rua do Pau de Bandeira 4, Lisbon, Portugal	38.70703 -9.163828580131009
Mad River, California, USA	40.370237 -123.4336743
Grassano, Italy	40.6326231 16.2828135
East Hollywood, California, USA	34.0904277 -118.2966254
Kimberley, British Columbia, Canada	49.6850876 -115.9819477
Madisonville, Kentucky, USA	37.3280037 -87.4986989
Globe Wien, Vienna, Austria	48.1874948 16.4050923
Goodsprings, Nevada, USA	35.8324542 -115.4338295
Flovilla, Georgia, USA	33.253734 -83.8985171
La Guerche Sur L'Aubois, France	46.9537428 2.944473
Telangana, Andhra Pradesh, India	17.4268432 78.48517323211993
Eregli, Tekirdag, Turkey	41.1625346 27.7965991
Glasgow, Southern Necropolis	55.8436251 -4.247153711759704
Dunloe, County Kerry, Ireland	52.01088015 -9.640601264399804
Valdice, Czech Republic	50.4550136 15.3848824
Trukhaniv Island, Kiev, Ukraine	50.46564035 30.548786994634707
Bedford, Nova Scotia, Canada	44.7303901 -63.6582365
Point Washington, Florida, USA	30.3701993 -86.1149405
Santa Coloma, Barcelona, Spain	41.4510253 2.2079477
Itapira, SP, Brazil	-22.436111 -46.821667
Waimangu, Bay of Plenty, New Zealand	-38.2883535 176.3863422
Bellport, New York, USA	40.7570429 -72.9392727
Wallerfangen, Saarland, Germany	49.3277048 6.7183652
Siberia, Russia	60.0 100.0
Black Sea, Turkey	36.7321541 30.5618593
33438 Prendes, Asturias, Spain	43.5373372 -5.6662168
Bonneville, Oregon, USA	45.64426515 -121.94078741434213
Cerhenice, Czech Republic	50.0712747 15.0720338
Thorens, Haute-Savoie, France	45.9873594 6.306224482398606
Place Gustave Toudouze, Paris, France	48.8795475 2.3372778330440815
50-52 George Georgescu Strada, Bucharest, Romania	44.4243349 26.0937638
Trabuco Canyon, California, USA	33.6626232 -117.58938
Sellersburg, Indiana, USA	38.3979718 -85.7550735
Toulouse, Haute-Garonne, France	43.6044622 1.4442469
Newcastle, Delaware, USA	43.8508235 -104.1932166
Denison, Texas, USA	33.7556593 -96.536658
Balatonlelle, Hungary	46.7867617 17.6965209
Lihue, Hawaii, USA	21.9769622 -159.3687721
Orlando Junior Academy, Orlando Florida, USA	28.57709795 -81.37800634401093
Miraflores de la Sierra, Madrid, Spain	40.8137532 -3.7667236
Dordogne, France	45.14291985 0.6321258058651044
Kinston, North Carolina, USA	35.2626635 -77.5816353
Szolnok, Hungary	47.1754555 20.1946818
Kuru, Finland	61.8783837 23.7281893
Barton Stacey, Hampshire, UK	51.156963700000006 -1.3849988048751478
Ostromecko, Kujawsko-Pomorskie, Poland	53.1454846 18.2101367
Torzhok, Russia	57.040794 34.973373
Annecy le Vieux, France	45.9191358 6.1420652
Otzem, Israel	31.6528819 34.7055051
Losone, Switzerland	46.1679841 8.7633619
Guwahati, India	26.1805978 91.753943
Springhurst, Victoria, Australia	-36.1860417 146.4670118
Emily Griffith High School Denver, Colorado, USA	39.7458073 -104.9857343
Dhoon Glen, Isle of Man	54.2498457 -4.3770527
Bleiksoya, Nordland, Norway	69.2733812 15.875689303041314
Leeds, New York, USA	42.2520845 -73.88866066334222
Fort Leavenworth, Kansas, USA	39.36038775 -94.92530956365255
Leogane, Haiti	18.5111126 -72.6334255
Ngwe Saung, Burma	16.8599976 94.3906924
Coulogne, Nord-pas-de-calais, FRANCE	50.9257432 1.8840904
Macapa, Brazil	0.0401529 -51.0569588
Hanover, Pennsylvania, USA	39.8063247 -76.9842735
Countryside, Florida, USA	28.48444805 -81.30403385863843
Springbrook, Prince Edward Island, Canada	46.4933991 -63.5057314
Beskydy, Czech Republic	49.4670303 18.4327362
Tama-ku, Kawasaki-shi, Japan	35.6078296 139.6293005
Patlicha, Guerrero, Mexico	17.4384784 -98.7214325
Vila Pouca de Aguiar, Vila Real, Portugal	41.5007614 -7.6442868
Beverly Hills, California, USA	34.0696501 -118.3963062
Suvisaaristo, Espoo, Finland	60.1175286 24.7145641
Sunset Beach, Oregon, USA	46.1012171 -123.9304203
New Bern, North Carolina, USA	35.1084931 -77.0441143
Neuwied, Rhineland-Palatinate, Germany	50.4302393 7.466302
Spanish Water Bay, Curacao, Netherlands	12.0877505 -68.864
Colombey-les-Deux-Eglises, Haute-Marne, France	48.2127567 4.893422918708275
Jiaozuo, Henan, China	35.2075729 113.2533977
Nanteau-sur-Lunain, Seine-et-Marne, France	48.25289315 2.807368730038217
Vlaardingen, South Holland, Netherlands	51.9227863 4.329563378870851
Grizzly Flats, California, USA	37.038661 -122.0580055
Nuoro, Sardinia, Italy	40.263970549999996 9.12722009781746
Cherokee Nation, Oklahoma, USA	36.1342565 -94.94770142081735
Navarra, Spain	42.61254875 -1.830787673361753
Ironton, Missouri, USA	37.5972724 -90.6273444
Beachburg, Ontario, Canada	45.7328559 -76.8559063
Coast, Florida, USA	27.7713058 -82.6496966
Gromovo, Leningrad Oblast, Russia	60.6966982 30.2152876
Bramley, Hampshire, UK	51.3306934 -1.0610421
North General Hospital - New York City, New York, USA	40.803225 -73.94172762319079
Piscataway, New Jersey, USA	40.5462553 -74.4660408
Oakwood Cemetery High Point, North Carolina, USA	35.965967 -80.00737528208552
Plurdalen, Norway	66.2808518 14.7312395
Soho, New York, USA	40.72288 -73.9987505
Nicaragua	12.6090157 -85.2936911
Perry Point VAMC, Maryland, USA	39.5517659 -76.0589210172405
Newtown, New South Wales, Australia	-33.8961132 151.1801893
Violet, Louisiana, USA	29.8992635 -89.89338721140962
Prato, Tuscany, Italy	43.935718050000006 11.09414726770089
Peterborough, South Australia, Australia	-32.9743928 138.8354835
Buckeye Lake, Ohio, USA	39.933473 -82.48256385263426
Angeles National Forest, California, USA	34.32165465 -117.97305362032837
Antigua, Antigua and Barbuda	17.10371515 -61.790450458055844
Meisterschwanden, Kanton Aargau, Switzerland	47.2949842 8.2277227
Winchester, Massachusetts, USA	42.4523178 -71.1369982
Narsaq, Greenland	60.9127453 -46.0452698
Coulterville, Illinois, USA	38.1864389 -89.6056504
Libcice, Czech Republic	49.5723328 14.4024377
Kolkata, West Bengal, India	22.5414185 88.35769124388872
Arniston, South Africa	-34.668056 20.231111
Byrnes Lake, Alabama, USA	30.792144 -87.899439
Dragoon, Arizona, USA	32.0281367 -110.0386795
Sistan and Baluchestan, Iran	29.474851549999997 60.85881121189318
Paxton, New South Wales, Australia	-32.9031544 151.2844081
Galena, Ohio, USA	40.2150625 -82.8799013
Yankee Hill, California, USA	39.6876709 -120.94523
Calabasas, California, USA	34.1446643 -118.6440973
Lymnos, Greece	36.478062300000005 22.48897134869622
Diablo Valley College - Pleasant Hill, California, USA	37.9686779 -122.07042180855788
Ontario, Canada	50.000678 -86.000977
Afyonkarahisar, Turkey	38.6852729 30.6427411
Columbia, Kentucky, USA	37.102841 -85.3063504
Blue Earth, Minnesota, USA	44.0109722 -94.0560643
Font Hill Ontario, Canada	45.4289175 -75.6739216
Kyustendil, Bulgaria	42.334942749999996 22.88841163833711
Norwood, South Australia, Australia	-34.9213467 138.6320869
San Carlos, California, USA	37.504936 -122.261823
1300, Ibirapuera, S�o Paulo	-22.5884524 -47.4123819
v. Kondofrey, Bulgaria	42.4270202 23.0057143
Hisingen, Sweden	57.77389735 11.901739168420239
Ada, Vojvodina, Serbia	45.7969129 20.133407
Royal Hotel, Copenhagen, Denmark	55.6748724 12.5637613
Mountmellick, County Laois, Ireland	53.1175082 -7.3251863
Belzig, Brandenburg, Germany	52.1405622 12.5865873
Rizal, Philippines	14.65 121.25
Orland, California, USA	39.7471106 -122.191135
Yongsan-gu, Seoul, South Korea	37.5323 126.99
4403 S Dishman Mica Rd, Spokane, WA 99206	47.6133791 -117.24348430554073
Mont Bisanne, Villard-sur-Doron, France	45.7471211 6.5057063
Swisttal, North Rhine-Westphalia, Germany	50.68396955 6.931177542038007
Cape Town, 7925, South Africa	-33.928992 18.417396
Covington, Georgia, USA	33.599079 -83.8336229
Bevertalsperre, North Rhine-Westphalia, Germany	51.1589158 7.39871368488903
Murree, Pakistan	33.9056829 73.392674
Oponice, Slovakia	48.458903 18.143586254331602
Camino, California, USA	38.7382366 -120.6749302
Reviers, Calvados, France	49.301348 -0.4666363
Annweiler, Rhineland-Palatinate, Germany	49.2022342 7.9729785
Cahir, Tipperary, Ireland	52.3749129 -7.9251412
Le Gibus, Paris, France	48.8682496 2.3663122
Collingwood, Victoria, Australia	-37.802104 144.9881387
Ganpatipule, India	17.1466952 73.2697524
Valenton, Val-de-Marne, France	48.7443189 2.4699741
Lake Mohave, Arizona, USA	35.423908 -114.64643209190447
Canoa, Sonora, Mexico	29.7866787 -109.3306304
6 E 32nd St #6, New York, USA	40.7446741 -73.9795983
Stock-im-Eisen-Platz 6, Vienna, Austria	48.20802395 16.37166417096941
Las Rosas, Santa Fe, Argentina	-31.9697481 -60.9233512
Woodstown, New Jersey, USA	39.6515027 -75.3282454
L'Ile-Perrot, Quebec, Canada	45.393146 -73.952751
Hearst San Simeon State Park, California, USA	35.5943837 -121.11705448839209
Macon, Missouri, USA	39.8416253 -92.5675118
Huddersfield, England, UK	53.6466645 -1.7822482
Little Palm Island, Florida, USA	24.6654883 -81.3877456
2555 W. 37th Ave. Denver Colorado, USA	39.768332799999996 -105.01873428660338
Kagoshima, Kyushu, Japan	31.5860516 130.511773
Benzie County, Michigan, USA	44.6408868 -85.9928452
Petrolia, Ontario	42.882002 -82.149582
Novaya Zemlya Nuclear Test Site, Russia	73.3435413 55.034760189813426
Corbett, Oregon, USA	45.5314503 -122.2922567
San Luis, Argentina	-33.2762202 -65.9515546
Clive, IA, USA	41.6096559 -93.7754644
Cottontown, Tennessee, USA	36.4514343 -86.53805
Santuari De La Mare De Deu Del Mont, Catalonia, Spain	42.25839355 2.7071613872953213
Folkston, Georgia, USA	30.8305818 -82.0097846
Wallingford, Pennsylvania, USA	39.8909454 -75.3629687
Saint-Etienne, Loire, France	45.4401467 4.3873058
Sainville, Eure-et-Loir, France	48.4157938 1.8789201
Our�m, Portugal	43.6496049 -79.426483
Loch Eriboll, Scotland, UK	58.49903965 -4.688348254869922
Stavern, Norway	58.9983397 10.0360061
Ulcinj, Montenegro	41.926012 19.2055563
Bannock Point, Manitoba, Canada	50.1147066 -95.6135168
Dawsonville, Georgia, USA	34.4212053 -84.1190804
Vanha Ylioppilastalo, Helsinki, Finland	60.169069 24.94071147213262
Bakowiec, Mazowieckie, Poland	51.4972679 21.6931906
Salem, New Hampshire, USA	42.7884226 -71.2008933
Ayr, Scotland, UK	55.4628044 -4.6302502
Fullarton, South Australia, Australia	-34.9540475 138.6263553
North Tarrytown, New York, USA	41.0785699 -73.857657
Kekova, Turkey	36.18241285 29.877451951236505
Palomar Mountain, California, USA	33.3228128 -116.8786359
Serdivan, Sakarya, Turkey	40.7603347 30.3629644
Dodgeville, Wisconsin, USA	42.9600059 -90.1304461
Half Moon Lake Resort, Alberta, Canada	53.45757625 -113.07928179827782
Elk River Falls, North Carolina, USA	36.1988985 -81.9694515
Northampton, Pennsylvania, USA	40.20943295 -75.0020315130097
Dahlem, Berlin, Germany	52.4573805 13.2810976
Waipu, New Zealand	-35.9850068 174.4474971
Beaufort County, South Carolina, USA	32.3850708 -80.6923169
Akaki, Ethiopia	8.8689168 38.7908792
Buyukada, Istanbul, Turkey	40.856354499999995 29.119036629831754
Norwich University	44.139179049999996 -72.66126954642372
Solon, Ohio, USA	41.3897764 -81.4412259
Colorado Railroad Museum, US	39.77166575 -105.19310729437765
San Ramon, Ecuador	-0.7918487 -77.7791691
Yuma Desert, Arizona, USA	32.527831 -114.5710612
Cape Blanco State Park, Oregon, USA	42.83681605 -124.54313368834889
Jerusalem Theatre, Jerusalem, Israel	31.76894735 35.215606630625004
Molinos, Salta, Argentina	-25.575340150000002 -66.45563346148111
Adrall, Spain	42.327006049999994 1.4016321795517555
Talca, Chile	-35.4266305 -71.6661153
Lithonia, Georgia, USA	33.7143245 -84.1245146
Artashavan, Armenia	40.3878585 44.3828526
Ballybrit, County Galway, Ireland	53.29605135 -8.999850268879754
Arenele Romane, Bucharest, Romania	44.41296495 26.09283585138534
Raystown, Pennsylvania, USA	40.3076757 -78.1845832
Pasila, Helsinki, Finland	60.197873 24.9322653
Long Island City, NY 11102, USA	40.7415095 -73.9569751
Lake Hennessy, California, USA	37.2434904 -121.8645242
Platres, Cyprus	34.8892955 32.8652436
Highpoint, North Carolina, USA	36.0399122 -78.0382957
Vandenberg Air Force Base, California, USA	34.73835455 -120.58262457020024
MehrAbad, Tehran, Iran	35.7058305 51.9134255
Fort MacLeod, Alberta, Canada	49.7264403 -113.4074009
Babelthuap, Palau	7.366885099999999 134.54430649330376
Wareham, Massachusetts, USA	41.7626037 -70.7217017
Green Brook, New Jersey, USA	40.5990901 -74.4731408
Ripley, Ohio, USA	38.7456277 -83.8449245
Mississippi River, Missouri, USA	39.2478256 -90.7340135
Florida, Uruguay	-33.833333 -55.916667
Tveit, Norway	58.2298065 8.1179375
Cachoeirinha, Rio Grande do Sul, Brazil	-29.9493353 -51.0898927
Leopold II Tunnel, Brussels, Belgium	50.8598727 4.3420861
Toora, Victoria, Australia	-38.6647377 146.3243511
Rowland Flat, South Australia, Australia	-34.5728563 138.9372468
Radziejowice, Mazowieckie, Poland	52.0042375 20.5560438
Bischofshofen, Salzburg, Austria	47.4168029 13.2170933
Norwich, England, UK	52.628606 1.29227
Inc. Studios, Tokyo, Japan	35.6884462 139.7371364
Gauley Mountain, West Virginia, USA	38.3945928 -80.1653155
Gisenyi, Rwanda	-1.693545 29.259855
Kronprinsensgade, Copenhagen, Denmark	55.6805075 12.5785418
Mykonos Island, Greece	37.451434500000005 25.392337493319413
Avesa, Verona, Italy	45.4701287 10.9894088
Lake Mburo National Park, Uganda	-0.6110530000000001 30.98121261786038
Akita, Akita, Japan	39.7168833 140.1296657
Cherating, Malaysia	4.1265086 103.3924741
Rockland, Maine, USA	44.1036988 -69.1075562
Brunson, South Carolina, USA	32.9254394 -81.1873276
Lafayette Parish, Louisiana, USA	30.2141462 -92.0710624
Monowi, Nebraska, USA	42.829106 -98.3294392
Huallaga River, Peru	-5.5181991 -75.907162
Lauterbrunnen, Kanton Bern, Switzerland	46.5939043 7.9078016
Studio 5, Waterlooville	50.8797702 -1.0303756
Porterdale, Georgia, USA	33.5751146 -83.8937954
Gakona, Alaska, USA	62.341194 -145.2806028431485
Grand Hotel D'Angkor, Siem Reap, Cambodia	13.3643621 103.8598013
Oschiri, Sardinia, Italy	40.719766 9.101024
Downtown Windsor, Ontario, Canada	42.3148667 -83.0383612
Olivas, California, USA	34.2438932 -119.2426099
Eindhoven, Netherlands	51.4392648 5.478633
Czocha, Dolnoslaskie, Poland	51.0306506 15.303709835812583
Burgos, Ilocos Norte, Philippines	18.5110086 120.6436311
Ruby, Alaska, USA	64.7169375 -155.50476832906566
El Jafr, Jordan	30.4875 36.690278
Belpahari, West Bengal, India	22.6357826 86.7599164
Ephrata, Pennsylvania, USA	40.1799111 -76.1789242
La Canada, California, USA	33.730448 -117.7635725
Worthington, Minnesota, USA	43.6205056 -95.5956434
Slapanice, Czech Republic	49.1688974 16.7272687
Keizer, Oregon, USA	44.9969 -123.0266267
Mount Logan, Yukon, Canada	60.5678461 -140.4056911
Tournan-en-Brie, Seine-et-Marne, France	48.7403305 2.7645642
Clarksville, Arkansas, USA	35.4713108 -93.4664819
San Augustin, New Mexico, USA	35.457823 -105.1458373
Toronto, Ontario, CANADA	43.6534817 -79.3839347
Mufulira, Copperbelt, Zambia	-12.5512171 28.2408844
V�c, Hungary	37.6489186 -77.5604564
Elizabeth, Indiana, USA	38.1211819 -85.9741324
Isle of Wight, England, UK	50.67108245 -1.3328042802764226
Kicevo, Macedonia	41.5089037 20.9585155
Lafayette, California, USA	37.8857582 -122.1180201
Sunrise, Kentucky, USA	38.5425737 -84.2366007
Kennebec Falls, Maine, USA	44.59659035 -69.96686372578617
Twistringen, Lower Saxony, Germany	52.7992604 8.6421452
Harmating, Bavaria, Germany	47.8881059 11.5424687
Illum, Copenhagen, denmark	55.67952405 12.580250472419378
Yorkville, Illinois, USA	41.6411409 -88.4472948
